SEASON	POS	MODEL	PRICED	MAE	BIAS
POOLEDEX2022	QB	RANK_SHAPE	45	11.27	-5.71
POOLEDEX2022	RB	RANK_SHAPE	62	8.98	-4.47
POOLEDEX2022	WR	RANK_SHAPE	77	7.99	1.70
POOLEDEX2022	TE	RANK_SHAPE	33	8.79	-2.91
POOLEDEX2022	PK	RANK_SHAPE	30	1.23	0.23
POOLEDEX2022	ALL	RB_BLEND_50	247	7.98	-2.21
POOLEDEX2022	QB	RB_BLEND_50	45	10.71	-6.76
POOLEDEX2022	RB	RB_BLEND_50	62	8.21	-3.98
POOLEDEX2022	WR	RB_BLEND_50	77	9.00	1.52
POOLEDEX2022	TE	RB_BLEND_50	33	7.82	-2.97
POOLEDEX2022	PK	RB_BLEND_50	30	0.93	-0.47
POOLEDEX2022	ALL	RB_RANK_SHAPE	247	8.13	-2.23
POOLEDEX2022	QB	RB_RANK_SHAPE	45	10.76	-6.80
POOLEDEX2022	RB	RB_RANK_SHAPE	62	8.82	-3.85
POOLEDEX2022	WR	RB_RANK_SHAPE	77	8.96	1.40
POOLEDEX2022	TE	RB_RANK_SHAPE	33	7.88	-3.03
POOLEDEX2022	PK	RB_RANK_SHAPE	30	0.93	-0.47
POOLEDEX2022	ALL	VOR	247	8.47	-2.18
POOLEDEX2022	QB	VOR	45	10.62	-6.31
POOLEDEX2022	RB	VOR	62	10.06	-4.65
POOLEDEX2022	WR	VOR	77	9.12	1.82
POOLEDEX2022	TE	VOR	33	7.94	-2.85
POOLEDEX2022	PK	VOR	30	0.90	-0.43
POOLEDEX2022	ALL	WR_BLEND_50	247	8.11	-2.10
POOLEDEX2022	QB	WR_BLEND_50	45	10.64	-6.38
POOLEDEX2022	RB	WR_BLEND_50	62	10.08	-4.69
POOLEDEX2022	WR	WR_BLEND_50	77	7.90	2.18
POOLEDEX2022	TE	WR_BLEND_50	33	7.97	-2.88
POOLEDEX2022	PK	WR_BLEND_50	30	0.90	-0.43
POOLEDEX2022	ALL	WR_RANK_SHAPE	247	8.30	-2.01
POOLEDEX2022	QB	WR_RANK_SHAPE	45	10.71	-6.44
POOLEDEX2022	RB	WR_RANK_SHAPE	62	10.08	-4.69
POOLEDEX2022	WR	WR_RANK_SHAPE	77	8.48	2.51
POOLEDEX2022	TE	WR_RANK_SHAPE	33	8.00	-2.91
POOLEDEX2022	PK	WR_RANK_SHAPE	30	0.90	-0.43
